step,action,code,prediction,outcome,status,valence,i_length,e_length,nb_schemas
284,sniff_left,2,3,3,success,-1,1,1,804
285,turn_right,4,0,0,success,-5,1,1,808
286,turn_right,4,2,2,success,-1,5,1,808
287,forward,1,2,0,fail,-1,5,1,811
288,turn_left,5,1,1,success,-3,1,1,815
289,sniff_left,2,0,0,success,-1,1,1,818
290,sniff_front,0,0,3,fail,-1,1,0,821
291,turn_left,5,2,2,success,-1,4,1,821
292,forward,1,2,0,fail,-1,4,1,824
293,sniff_right,3,3,3,success,-1,1,1,828
294,sniff_front,0,0,0,success,-1,1,1,831
295,sniff_front,0,0,0,success,-1,1,1,834
296,forward,1,0,0,success,-1,1,1,835
297,sniff_right,3,3,3,success,-1,1,1,838
298,sniff_left,2,0,3,fail,-1,1,0,842
299,sniff_front,0,0,0,success,-1,1,1,845
300,sniff_left,2,0,3,fail,-1,1,0,849
301,sniff_left,2,0,3,fail,-1,1,0,852
302,sniff_right,3,2,3,fail,-1,1,0,853
303,sniff_right,3,3,3,success,-1,1,1,856
304,sniff_front,0,0,0,success,-1,1,1,859
305,sniff_right,3,0,3,fail,-1,1,0,863
306,sniff_left,2,0,3,fail,-1,1,0,866
307,sniff_front,0,0,0,success,-1,1,1,867
308,sniff_front,0,0,0,success,-1,1,1,870
309,forward,1,0,0,success,-1,1,1,871
310,turn_left,5,1,0,fail,-5,1,0,875
311,sniff_right,3,0,0,success,-1,4,1,875
312,sniff_left,2,2,2,success,-1,4,2,875
313,turn_left,5,2,2,success,-1,4,3,875
314,forward,1,2,2,success,10,4,4,878
315,sniff_front,0,2,2,success,-1,6,1,878
316,forward,1,2,2,success,10,6,2,878
317,sniff_front,0,2,2,success,-1,6,3,878
318,forward,1,2,0,fail,-1,6,3,882
319,sniff_right,3,2,2,success,-1,5,1,882
320,turn_right,4,2,2,success,-1,5,2,882
321,forward,1,2,2,success,10,5,3,882
322,sniff_front,0,2,2,success,-1,5,4,882
323,forward,1,0,2,fail,10,5,4,889
324,sniff_front,0,2,2,success,-1,6,1,889
325,forward,1,2,2,success,10,6,2,889
326,sniff_front,0,2,2,success,-1,6,3,889
327,forward,1,2,0,fail,-1,6,3,893
328,sniff_right,3,2,2,success,-1,9,1,893
329,turn_right,4,2,2,success,-1,9,2,893
330,forward,1,2,2,success,10,9,3,893
331,sniff_front,0,2,2,success,-1,9,4,893
332,forward,1,2,2,success,10,9,5,893
333,sniff_front,0,2,2,success,-1,9,6,893
334,forward,1,2,2,success,10,9,7,893
335,sniff_front,0,2,2,success,-1,9,8,893
336,forward,1,0,2,fail,10,9,8,899
337,sniff_front,0,2,2,success,-1,6,1,899
338,forward,1,2,2,success,10,6,2,899
339,sniff_front,0,2,2,success,-1,6,3,899
340,forward,1,2,2,success,10,6,4,899
341,sniff_front,0,2,2,success,-1,6,5,899
